logP(o/w),logS,PEOE_VSA+1,GCUT_SMR_1,PEOE_RPC-,BCUT_PEOE_2,BCUT_SLOGP_1,BCUT_SMR_2,h_log_pbo,GCUT_SMR_2,h_logS,h_ema,rsynth,balabanJ,BCUT_PEOE_1,BCUT_SLOGP_3,BCUT_SMR_1,chi1v_C,chi1_C,GCUT_PEOE_2,chi1v,PEOE_RPC+,PEOE_VSA_NEG,SMR_VSA5,BCUT_SMR_0,BCUT_SLOGP_2,PEOE_VSA+3,BCUT_PEOE_0,PEOE_VSA_FPOS,VDistEq,SlogP_VSA4,PEOE_VSA_FNEG,weinerPath,SMR,PEOE_VSA-0,petitjean,PEOE_PC-,petitjeanSC,lip_violation,Kier2,vsa_acc,Weight,PEOE_PC+,chi1,weinerPol,SMR_VSA0,apol,chi0_C,h_mr,VDistMa,zagreb,chi0,opr_violation,SlogP_VSA2,mr,VAdjEq,SMR_VSA6,vdw_vol,diameter,vsa_other,SlogP_VSA3,PEOE_VSA-5,Kier1,SlogP_VSA7,b_max1len,b_ar,a_aro,b_double,a_hyd,a_nO,VAdjMa,opr_brigid,h_pstates,b_heavy,rings,a_nN,a_heavy,SlogP_VSA1,lip_acc,a_nC,a_acc,opr_nring,ast_violation_ext,PEOE_VSA-3,ast_violation,logPapp
1.073,-5.0376701,20.299505,-0.19717449,0.083530895,0.39377072,-0.43302742,0.51581079,8.4801397,0.11799734,-6.6049995,13.704247,0.27083334,1.929177,-0.44056395,2.719734,-0.26166645,10.571968,11.153832,-0.003961385,17.476852,0.073601477,102.18771,185.37596,-2.4502654,0.35708964,101.29668,-2.705682,0.85286272,3.8434241,7.5963712,0.1471373,8225.0,18.04524,0.0,0.44444445,-3.7316344,0.80000001,2.0,20.888889,90.822563,672.87201,3.7316344,22.763365,77.0,143.17329,110.79241,24.534805,18.625471,10.945172,238.0,35.542877,3.0,159.10117,18.372168,0.25768197,123.7506,767.58496,18.0,77.697189,92.197891,81.401527,42.4128,34.428715,4.0,5.0,5.0,6.0,28.0,6.0,6.643856,27.0,1.0102092,50.0,3.0,8.0,48.0,62.489536,14.0,34.0,7.0,2.0,4.0,9.4210396,2.0,-7.33
0.72399998,-5.1773601,15.808495,-0.20778206,0.081811607,0.391397,-0.42368019,0.50681865,7.0944843,0.11527567,-6.1152797,13.631276,0.0625,1.9371339,-0.43554676,2.7197347,-0.27639693,10.994618,11.337336,0.043218922,17.796078,0.070280075,106.3336,169.81564,-2.450707,0.3490282,67.397217,-2.7067475,0.84618354,3.8246651,4.4107962,0.15381648,8183.0,17.907339,0.0,0.41176471,-3.9079895,0.69999999,2.0,20.888889,94.968445,675.87201,3.9079895,22.780203,78.0,167.03551,111.1612,24.241911,18.457417,10.947344,238.0,35.542877,3.0,182.96339,18.216379,0.25768197,165.88853,763.07477,17.0,90.646713,129.07704,94.968445,42.4128,0.0,4.0,0.0,0.0,7.0,27.0,7.0,6.643856,27.0,1.0,50.0,3.0,7.0,48.0,52.433056,14.0,34.0,7.0,2.0,4.0,0.0,2.0,-8.28
3.9820001,-7.67659,0.0,-0.20536683,0.093967468,0.47794914,-0.42217913,0.60413402,9.1456413,0.14415018,-7.786346,11.608348,0.22448979,2.043581,-0.49023849,2.7198358,-0.33262104,12.299149,13.547679,0.05351983,18.040421,0.082797438,171.80914,238.73434,-2.4512095,0.43424925,67.397217,-2.7065792,0.75645018,3.7050169,12.007167,0.24354985,8231.0,18.790739,79.042473,0.375,-3.3171775,0.60000002,2.0,21.639183,81.401527,682.90698,3.3171775,23.263365,80.0,143.17329,115.20599,26.526369,19.244293,11.025074,242.0,36.249985,3.0,159.10117,19.117886,0.25355992,105.31101,796.62463,16.0,77.697189,73.758316,81.401527,43.404846,88.215919,4.0,6.0,6.0,6.0,31.0,6.0,6.6724253,28.0,1.0,51.0,3.0,6.0,49.0,44.049957,12.0,37.0,6.0,2.0,5.0,0.0,3.0,-4.99
2.233,-6.32128,15.808495,-0.20780541,0.094570249,0.44568583,-0.42448357,0.56453389,9.1455956,0.1317395,-6.9711318,12.962087,0.1632653,2.0282764,-0.46601221,2.7197206,-0.31025261,11.2362,12.484731,0.054603264,17.674397,0.074417226,176.52144,220.29475,-2.4497488,0.39969122,125.11412,-2.7045176,0.74948442,3.7345662,7.5963712,0.25051561,8301.0,18.499041,81.251015,0.44444445,-3.6908629,0.80000001,2.0,22.270952,83.905281,684.87897,3.6908629,23.407524,80.0,154.17319,112.91441,25.656126,18.969999,11.022279,240.0,36.086845,3.0,170.10106,18.878542,0.25355992,144.67685,788.75854,18.0,77.697189,113.12415,81.401527,43.404846,88.215919,4.0,6.0,6.0,6.0,30.0,7.0,6.6724253,28.0,1.0,51.0,3.0,6.0,49.0,44.049957,13.0,36.0,7.0,2.0,4.0,0.0,2.0,-5.4
4.3390002,-8.0830603,0.0,-0.20494249,0.09399984,0.40166652,-0.41745895,0.5137912,6.0808134,0.11532781,-7.6020551,11.616958,0.22448979,2.0433056,-0.4331913,2.8739626,-0.28075403,13.259657,13.547679,0.047526918,19.000929,0.082825959,92.766678,226.42087,-2.5606542,0.35705987,67.397217,-2.8163006,0.86849761,3.7050169,13.232388,0.13150238,8231.0,18.899839,0.0,0.375,-3.316035,0.60000002,2.0,21.639183,81.401527,688.95496,3.316035,23.263365,80.0,143.17329,119.20675,26.526369,19.34227,11.025074,242.0,36.249985,3.0,159.10117,19.183189,0.25355992,123.7506,796.62463,16.0,77.697189,92.197891,81.401527,43.404846,0.0,4.0,0.0,0.0,6.0,31.0,6.0,6.6724253,28.0,1.0,51.0,3.0,6.0,49.0,44.049957,12.0,37.0,6.0,2.0,5.0,0.0,3.0,-5.17
2.931,-6.6800399,0.0,-0.20357715,0.096401565,0.39110646,-0.41536415,0.50578594,6.0807867,0.1139321,-6.7147303,13.03155,0.06122449,2.0433056,-0.43171471,2.7371218,-0.27555475,12.259657,12.547679,0.042953704,18.578279,0.074841455,95.270432,169.81564,-2.5173473,0.34901288,67.397217,-2.7666643,0.86479414,3.7050169,13.232388,0.13520584,8231.0,18.59664,0.0,0.375,-3.6698081,0.60000002,2.0,21.639183,83.905281,690.927,3.6698081,23.263365,80.0,154.17319,116.91517,25.819262,19.067976,11.025074,242.0,36.249985,3.0,170.10106,18.906881,0.25355992,165.6031,788.75854,16.0,77.697189,134.05042,81.401527,43.404846,0.0,4.0,0.0,0.0,6.0,30.0,7.0,6.6724253,28.0,1.0,51.0,3.0,6.0,49.0,44.049957,13.0,36.0,7.0,2.0,4.0,0.0,2.0,-5.75
4.1539998,-7.73806,15.808495,-0.21053623,0.093201883,0.47842541,-0.43381748,0.60508025,9.145751,0.14469591,-7.9812908,11.609584,0.18000001,2.033488,-0.49170703,2.7198536,-0.33312237,12.943307,14.191837,0.056055915,18.68458,0.082125843,174.01768,276.89996,-2.4520121,0.43424964,67.397217,-2.7087693,0.75872624,3.7599576,7.5963712,0.24127376,8797.0,19.263941,81.251015,0.44444445,-3.3444257,0.80000001,2.0,23.040001,81.401527,696.93396,3.3444257,23.907524,81.0,143.17329,118.29958,27.070339,19.698694,11.08107,244.0,36.793953,3.0,159.10117,19.619228,0.24958064,123.7506,815.1521,18.0,77.697189,92.197891,81.401527,44.39719,88.215919,5.0,6.0,6.0,6.0,32.0,6.0,6.7004399,28.0,1.0,52.0,3.0,6.0,50.0,44.049957,12.0,38.0,6.0,2.0,5.0,0.0,3.0,-5.1
4.0700002,-7.73806,15.808495,-0.20527837,0.093185812,0.47783411,-0.42007217,0.60394073,9.1457357,0.14393824,-7.9687157,11.614806,0.23999999,2.0231929,-0.48924971,2.7198086,-0.33252677,12.799149,14.047679,0.053379402,18.540421,0.082108699,174.01768,239.16316,-2.4526539,0.4342041,67.397217,-2.7089236,0.75872624,3.7691844,12.007167,0.24127376,8831.0,19.256941,81.251015,0.41176471,-3.3450022,0.69999999,2.0,22.395555,81.401527,696.93396,3.3450022,23.763365,81.0,143.17329,118.29958,27.233475,19.698692,11.079174,246.0,36.957088,3.0,159.10117,19.585453,0.24958064,123.7506,815.1521,17.0,77.697189,92.197891,81.401527,44.39719,88.215919,4.0,6.0,6.0,6.0,32.0,6.0,6.7004399,28.0,1.0,52.0,3.0,6.0,50.0,44.049957,12.0,38.0,6.0,2.0,4.0,0.0,2.0,-6.14
4.5120001,-7.9398298,0.0,-0.20524433,0.093120649,0.47782496,-0.41978899,0.60392869,9.1457634,0.1439113,-8.2770576,11.616731,0.25490198,2.0002248,-0.48917922,2.7198267,-0.33252135,13.299149,14.547679,0.053364474,19.040421,0.082051277,174.01768,258.03159,-2.4541352,0.43420297,67.397217,-2.7111714,0.76390111,3.8410296,12.007167,0.23609887,9481.0,19.718639,81.251015,0.44444445,-3.3473432,0.80000001,2.0,23.157793,81.401527,710.961,3.3473432,24.263365,82.0,143.17329,121.39317,27.940582,20.153082,11.130494,250.0,37.664196,3.0,159.10117,20.052769,0.24573661,123.7506,833.67957,18.0,77.697189,92.197891,81.401527,45.38982,88.215919,4.0,6.0,6.0,6.0,33.0,6.0,6.7279205,28.0,1.0,53.0,3.0,6.0,51.0,44.049957,12.0,39.0,6.0,2.0,5.0,0.0,3.0,-5.11
3.766,-7.7534099,8.458519,-0.20781112,0.090155423,0.45218277,-0.4497754,0.60853237,9.3325872,0.13365346,-7.8354783,12.529552,0.25490198,2.0002248,-0.47491029,2.7198017,-0.30976897,12.445596,13.639431,0.053253345,18.679667,0.07541851,95.270432,220.29475,-2.4525731,0.48320499,89.455688,-2.7081525,0.87060034,3.8410296,8.8215923,0.12939966,9481.0,19.436041,0.0,0.44444445,-3.6417291,0.80000001,2.0,23.157793,83.905281,712.93298,3.6417291,24.263365,82.0,143.17329,119.10158,27.233475,19.903877,11.130494,250.0,37.664196,3.0,159.10117,19.77252,0.24573661,144.67685,825.81348,18.0,77.697189,113.12415,81.401527,45.38982,88.215919,4.0,6.0,6.0,6.0,32.0,7.0,6.7279205,28.0,1.0,53.0,3.0,6.0,51.0,44.049957,13.0,38.0,7.0,2.0,4.0,0.0,2.0,-5.19
