0,10
0,21
0,26
0,36
0,38
0,41
0,61
0,110
0,142
0,146
1,10
1,13
1,21
1,24
1,36
1,37
1,41
1,42
1,46
1,61
1,71
1,110
1,142
1,146
2,10
2,21
2,26
2,36
2,38
2,41
2,61
2,110
2,142
2,146
3,10
3,21
3,26
3,36
3,38
3,41
3,61
3,110
3,142
3,146
4,10
4,21
4,26
4,36
4,38
4,41
4,61
4,110
4,142
4,146
5,10
5,36
5,41
5,61
5,110
5,142
5,146
6,10
6,36
6,41
6,61
6,110
6,142
6,146
7,10
7,26
7,36
7,41
7,61
7,110
7,142
7,146
8,10
8,36
8,78
8,110
8,142
9,10
9,36
9,78
9,110
9,142
10,10
10,36
10,78
10,110
10,142
11,10
11,62
11,78
11,142
12,10
12,36
12,78
12,110
12,142
13,10
13,24
13,37
13,42
13,46
13,52
13,71
14,10
14,62
14,78
14,142
15,10
15,62
15,78
15,142
16,10
16,36
16,62
16,78
16,79
17,10
17,62
17,78
17,142
18,10
18,36
18,78
18,110
18,142
19,10
19,21
19,26
19,36
19,38
19,41
19,61
19,110
19,142
19,146
20,10
20,62
20,78
20,142
21,10
21,21
21,26
21,36
21,38
21,41
21,61
21,110
21,142
21,146
22,10
22,21
22,26
22,36
22,37
22,38
22,41
22,95
22,110
22,142
22,146
23,10
23,21
23,24
23,36
23,37
23,38
23,41
23,42
23,46
23,52
23,53
23,71
23,110
23,142
24,10
24,21
24,26
24,36
24,37
24,38
24,41
24,95
24,110
24,142
24,146
25,10
25,21
25,26
25,36
25,37
25,38
25,41
25,95
25,110
25,142
25,146
26,10
26,21
26,26
26,36
26,37
26,38
26,41
26,95
26,110
26,142
26,146
27,10
27,21
27,26
27,36
27,37
27,38
27,41
27,95
27,110
27,142
27,146
28,6
28,10
28,13
28,21
28,26
28,28
28,30
28,36
28,37
28,38
28,42
28,43
28,44
28,59
28,61
28,66
28,68
28,78
28,89
28,95
28,103
28,110
28,113
28,133
28,142
28,144
28,146
28,149
29,6
29,10
29,13
29,21
29,26
29,28
29,30
29,36
29,37
29,38
29,42
29,43
29,44
29,59
29,61
29,66
29,68
29,78
29,89
29,95
29,103
29,110
29,113
29,133
29,142
29,144
29,146
29,149
30,10
30,13
30,21
30,30
30,35
30,36
30,37
30,38
30,41
30,43
30,46
30,52
30,53
30,57
30,58
30,61
30,66
30,68
30,69
30,71
30,79
30,81
30,87
30,89
30,96
30,97
30,102
30,108
30,110
30,114
30,116
30,118
30,120
30,121
30,122
30,123
30,142
30,146
31,10
31,13
31,21
31,30
31,35
31,36
31,37
31,38
31,41
31,43
31,46
31,52
31,53
31,57
31,58
31,61
31,66
31,68
31,69
31,71
31,79
31,81
31,87
31,89
31,96
31,97
31,102
31,108
31,110
31,114
31,116
31,118
31,120
31,121
31,122
31,123
31,142
31,146
32,5
32,10
32,13
32,21
32,24
32,26
32,30
32,35
32,36
32,37
32,38
32,41
32,42
32,43
32,44
32,46
32,53
32,57
32,58
32,61
32,66
32,67
32,68
32,79
32,87
32,89
32,95
32,96
32,97
32,102
32,103
32,110
32,116
32,142
32,146
33,10
33,13
33,21
33,30
33,35
33,36
33,37
33,38
33,41
33,43
33,46
33,52
33,53
33,57
33,58
33,61
33,66
33,68
33,69
33,71
33,79
33,81
33,87
33,89
33,96
33,97
33,102
33,108
33,110
33,114
33,116
33,118
33,120
33,121
33,122
33,123
33,142
33,146
34,10
34,13
34,21
34,30
34,35
34,36
34,37
34,38
34,41
34,43
34,46
34,52
34,53
34,57
34,58
34,61
34,66
34,68
34,69
34,71
